Product ID,Week,Orders,Inventory
1000,2025-01-06,0,378
1000,2025-01-13,0,21
1000,2025-01-20,0,21
1000,2025-01-27,0,21
1001,2025-01-06,0,612
1001,2025-01-13,0,189
1001,2025-01-20,0,424
1001,2025-01-27,0,189
1003,2025-01-06,0,252
1003,2025-01-13,0,251
1003,2025-01-20,0,251
1003,2025-01-27,0,251
1008,2025-01-06,0,179
1008,2025-01-13,0,33
1008,2025-01-20,0,33
1008,2025-01-27,0,33
1013,2025-01-06,0,183
1013,2025-01-13,337,392
1013,2025-01-20,0,56
1013,2025-01-27,0,56
1014,2025-01-06,74,170
1014,2025-01-13,311,407
1014,2025-01-20,0,170
1014,2025-01-27,0,170
1017,2025-01-06,0,755
1017,2025-01-13,0,110
1017,2025-01-20,0,110
1017,2025-01-27,0,110
1027,2025-01-06,0,168
1027,2025-01-13,0,168
1027,2025-01-20,0,168
1027,2025-01-27,0,168
1030,2025-01-06,257,12
1030,2025-01-13,0,12
1030,2025-01-20,0,12
1030,2025-01-27,0,12
1034,2025-01-06,0,533
1034,2025-01-13,0,179
1034,2025-01-20,0,179
1034,2025-01-27,0,179
1035,2025-01-06,0,606
1035,2025-01-13,0,176
1035,2025-01-20,0,176
1035,2025-01-27,0,176
1040,2025-01-06,195,47
1040,2025-01-13,0,47
1040,2025-01-20,0,47
1040,2025-01-27,0,78
1049,2025-01-06,0,576
1049,2025-01-13,0,70
1049,2025-01-20,0,430
1049,2025-01-27,0,70
1051,2025-01-06,0,614
1051,2025-01-13,0,111
1051,2025-01-20,0,111
1051,2025-01-27,0,111
1056,2025-01-06,141,58
1056,2025-01-13,0,297
1056,2025-01-20,0,248
1056,2025-01-27,0,58
1057,2025-01-06,6,124
1057,2025-01-13,0,124
1057,2025-01-20,0,124
1057,2025-01-27,0,124
1059,2025-01-06,0,443
1059,2025-01-13,0,242
1059,2025-01-20,0,242
1059,2025-01-27,0,242
1063,2025-01-06,498,279
1063,2025-01-13,0,279
1063,2025-01-20,0,279
1063,2025-01-27,0,279
1067,2025-01-06,4,62
1067,2025-01-13,0,62
1067,2025-01-20,0,373
1067,2025-01-27,0,62
1072,2025-01-06,73,86
1072,2025-01-13,0,86
1072,2025-01-20,0,311
1072,2025-01-27,0,86
1073,2025-01-06,0,522
1073,2025-01-13,0,148
1073,2025-01-20,0,148
1073,2025-01-27,0,148
1075,2025-01-06,231,200
1075,2025-01-13,321,290
1075,2025-01-20,0,200
1075,2025-01-27,0,200
1083,2025-01-06,0,797
1083,2025-01-13,0,659
1083,2025-01-20,0,521
1083,2025-01-27,0,383
1084,2025-01-06,0,664
1084,2025-01-13,0,318
1084,2025-01-20,0,318
1084,2025-01-27,0,318
1085,2025-01-06,6,323
1085,2025-01-13,263,65
1085,2025-01-20,263,65
1085,2025-01-27,0,65
1089,2025-01-06,185,125
1089,2025-01-13,0,125
1089,2025-01-20,0,125
1089,2025-01-27,0,125
1090,2025-01-06,0,440
1090,2025-01-13,0,168
1090,2025-01-20,0,168
1090,2025-01-27,0,168
1098,2025-01-06,0,415
1098,2025-01-13,0,210
1098,2025-01-20,0,478
1098,2025-01-27,0,210
1099,2025-01-06,241,132
1099,2025-01-13,0,132
1099,2025-01-20,0,132
1099,2025-01-27,0,132
1100,2025-01-06,0,232
1100,2025-01-13,0,61
1100,2025-01-20,0,61
1100,2025-01-27,0,61
1127,2025-01-06,74,279
1127,2025-01-13,278,483
1127,2025-01-20,0,279
1127,2025-01-27,0,279
1129,2025-01-06,0,414
1129,2025-01-13,0,164
1129,2025-01-20,0,450
1129,2025-01-27,0,164
1132,2025-01-06,0,509
